time_s,true_yaw_rate_deg_s,raw_yaw_rate_deg_s,true_yaw_angle_deg,raw_yaw_angle_deg,true_pitch_rate_deg_s,raw_pitch_rate_deg_s,true_pitch_angle_deg,raw_pitch_angle_deg,true_roll_rate_deg_s,raw_roll_rate_deg_s,true_roll_angle_deg,raw_roll_angle_deg
0.3101,22.6282,22.897,4.88,4.9112,1.1886,1.3672,1.5488,1.5339,20.6406,21.5083,5.324,5.3651
0.3201,22.772,22.5704,5.1071,5.1386,1.0491,0.7455,1.56,1.5445,20.6192,20.6992,5.5303,5.5762
0.3301,22.8891,23.6131,5.3354,5.3696,0.932,0.5132,1.5699,1.5508,20.574,20.7346,5.7364,5.7834
0.3401,22.98,22.7628,5.5649,5.6016,0.8377,0.6462,1.5788,1.5566,20.5051,20.7372,5.9418,5.9909
0.3501,23.0453,22.6915,5.7951,5.8289,0.7662,1.006,1.5868,1.5649,20.4129,21.2185,6.1465,6.2007
0.3601,23.0857,22.6923,6.0258,6.0559,0.7174,0.3435,1.5942,1.5716,20.2978,20.5595,6.3501,6.4097
0.3701,23.1017,23.2595,6.2568,6.2857,0.6907,0.4075,1.6013,1.5754,20.1602,20.3119,6.5525,6.6141
0.3801,23.0943,23.3457,6.4879,6.5188,0.6857,0.9836,1.6081,1.5823,20.0007,19.6065,6.7533,6.8138
0.3901,23.0642,23.3465,6.7187,6.7524,0.7014,0.7188,1.6151,1.5908,19.8198,19.9127,6.9525,7.0114
0.4001,23.0122,23.0609,6.9492,6.9845,0.7367,0.8429,1.6223,1.5987,19.6181,20.0071,7.1498,7.2111
0.4101,22.9392,22.8454,7.179,7.2141,0.7905,0.6215,1.6299,1.606,19.3963,19.7088,7.3449,7.4097
0.4201,22.8461,23.2489,7.408,7.4447,0.8613,1.3215,1.6382,1.6157,19.1551,19.4629,7.5377,7.6057
0.4301,22.734,22.6147,7.636,7.6741,0.9474,0.9684,1.6472,1.6271,18.8953,18.2518,7.728,7.7943
0.4401,22.6037,22.3907,7.8628,7.8992,1.047,1.2698,1.6572,1.6383,18.6177,18.842,7.9157,7.9798
0.4502,22.4564,23.0268,8.0881,8.1263,1.1583,1.032,1.6682,1.6499,18.323,18.0567,8.1004,8.1644
0.4602,22.293,22.4963,8.312,8.354,1.2791,0.9465,1.6804,1.6598,18.0123,17.8531,8.2822,8.344
0.4702,22.1147,22.4061,8.5341,8.5786,1.4074,1.2251,1.6939,1.6706,17.6864,17.7151,8.4607,8.5219
0.4802,21.9226,22.2604,8.7543,8.802,1.5408,1.3925,1.7086,1.6837,17.3463,17.4914,8.636,8.698
0.4902,21.7178,21.6962,8.9726,9.0219,1.6772,1.6789,1.7247,1.6991,16.9929,17.0239,8.8077,8.8706
0.5002,21.5014,21.4915,9.1888,9.2379,1.8141,1.2691,1.7422,1.7138,16.6274,16.8333,8.9759,9.04
0.5102,21.2746,21.6168,9.4027,9.4535,1.9491,1.476,1.761,1.7275,16.2507,16.4567,9.1403,9.2065
0.5202,21.0386,21.0034,9.6144,9.6667,2.08,2.3794,1.7811,1.7468,15.8639,16.0155,9.3009,9.3689
0.5302,20.7945,21.0453,9.8236,9.877,2.2043,1.9834,1.8026,1.7686,15.468,15.1669,9.4576,9.5248
0.5402,20.5435,20.6667,10.0304,10.0856,2.3198,2.0183,1.8252,1.7887,15.0642,15.3121,9.6104,9.6773
0.5502,20.2868,20.0785,10.2346,10.2894,2.4242,1.829,1.8489,1.8079,14.6536,15.2182,9.759,9.83
0.5602,20.0256,20.4655,10.4362,10.4922,2.5155,2.8329,1.8736,1.8312,14.2373,14.3161,9.9035,9.9777
0.5702,19.761,19.5242,10.6352,10.6922,2.5916,2.6387,1.8992,1.8586,13.8163,13.6115,10.0438,10.1174
0.5802,19.4943,19.7142,10.8316,10.8885,2.6505,2.5075,1.9254,1.8843,13.3918,13.4376,10.1799,10.2527
0.5902,19.2265,19.3966,11.0252,11.0841,2.6906,2.6381,1.9521,1.9101,12.965,13.1654,10.3117,10.3858
0.6002,18.9588,19.4888,11.2162,11.2786,2.7103,3.3174,1.9791,1.9399,12.5368,13.1283,10.4393,10.5173
0.6102,18.6923,18.5064,11.4045,11.4686,2.708,2.6865,2.0062,1.9699,12.1085,11.7236,10.5625,10.6416
0.6202,18.4282,18.4152,11.5902,11.6533,2.6827,2.1588,2.0332,1.9941,11.681,11.5556,10.6815,10.758
0.6302,18.1674,18.2873,11.7732,11.8368,2.6333,2.4324,2.0598,2.0171,11.2555,11.1562,10.7963,10.8716
0.6402,17.9111,18.1154,11.9537,12.0189,2.559,2.6591,2.0857,2.0425,10.833,10.8845,10.9067,10.9818
0.6502,17.6603,18.0708,12.1316,12.1999,2.4593,2.491,2.1108,2.0683,10.4144,10.2171,11.013,11.0874
0.6602,17.4159,17.6593,12.307,12.3786,2.3337,1.6154,2.1348,2.0888,10.0009,9.8742,11.1151,11.1879
0.6702,17.179,17.3364,12.4801,12.5537,2.1821,2.1906,2.1574,2.1079,9.5934,9.8768,11.2131,11.2867
0.6802,16.9504,17.4089,12.6508,12.7274,2.0047,1.833,2.1783,2.128,9.1927,8.9836,11.3071,11.381
0.6902,16.731,17.5098,12.8192,12.9021,1.8019,1.5319,2.1974,2.1448,8.7998,8.8894,11.3971,11.4704
0.7002,16.5216,16.265,12.9856,13.071,1.5742,1.4092,2.2143,2.1595,8.4156,8.7112,11.4832,11.5584
0.7102,16.3231,16.4714,13.1498,13.2348,1.3224,1.1923,2.2287,2.1726,8.0408,8.159,11.5655,11.6428
0.7202,16.1362,16.5141,13.3122,13.3997,1.0476,0.7086,2.2406,2.1821,7.6763,8.3716,11.6441,11.7255
0.7302,15.9616,16.1373,13.4727,13.5631,0.751,0.427,2.2496,2.1877,7.3227,7.3488,11.7191,11.8041
0.7402,15.7999,16.3803,13.6316,13.7257,0.4341,0.5684,2.2555,2.1927,6.9808,7.3851,11.7907,11.8778
0.7503,15.6517,15.7015,13.7889,13.8862,0.0986,-0.0364,2.2582,2.1954,6.6511,6.7668,11.8588,11.9486
0.7603,15.5177,15.3635,13.9448,14.0415,-0.2537,-0.2246,2.2574,2.1941,6.3343,6.6596,11.9238,12.0157
0.7703,15.3981,15.8093,14.0994,14.1975,-0.6208,-0.7692,2.253,2.1891,6.0308,6.1797,11.9856,12.08
0.7803,15.2936,14.6118,14.2529,14.3496,-1.0006,-1.8358,2.2449,2.1761,5.7412,5.9908,12.0445,12.1408
0.7903,15.2045,15.2118,14.4055,14.4988,-1.3908,-1.197,2.233,2.1609,5.4659,5.1417,12.1006,12.1965
0.8003,15.1311,15.9909,14.5572,14.6548,-1.7889,-1.9691,2.2171,2.1451,5.2051,5.0146,12.1539,12.2473
0.8103,15.0736,15.2314,14.7083,14.811,-2.1925,-2.3934,2.1972,2.1233,4.9593,5.0835,12.2048,12.2978
0.8203,15.0322,15.2896,14.8589,14.9637,-2.5991,-2.5593,2.1732,2.0985,4.7287,5.0584,12.2532,12.3485
0.8303,15.0072,14.8717,15.0091,15.1145,-3.006,-3.3511,2.1452,2.0689,4.5133,4.6739,12.2995,12.3972
0.8403,14.9985,15.1415,15.1592,15.2646,-3.4106,-3.5378,2.1131,2.0345,4.3134,4.8254,12.3436,12.4447
0.8503,15.0062,15.1135,15.3093,15.416,-3.8103,-3.9841,2.0769,1.9968,4.1291,4.116,12.3858,12.4895
0.8603,15.0303,15.7378,15.4595,15.5703,-4.2024,-4.1617,2.0369,1.9561,3.9602,3.839,12.4263,12.5292
0.8703,15.0706,14.9175,15.6101,15.7236,-4.5845,-5.11,1.9929,1.9097,3.8068,4.0362,12.4652,12.5686
0.8803,15.1269,14.4484,15.7611,15.8705,-4.9539,-5.2762,1.9452,1.8578,3.6688,4.0393,12.5025,12.609
0.8903,15.1992,15.4712,15.9128,16.0201,-5.3084,-5.0824,1.8939,1.806,3.5459,3.5132,12.5386,12.6468
0.9003,15.287,15.902,16.0653,16.177,-5.6454,-4.748,1.8391,1.7568,3.4379,3.4304,12.5736,12.6815
0.9103,15.39,15.3334,16.2187,16.3333,-5.9629,-6.5414,1.781,1.7003,3.3445,3.2934,12.6075,12.7152
0.9203,15.5079,15.1108,16.3732,16.4855,-6.2589,-7.0961,1.7199,1.6321,3.2655,3.3823,12.6405,12.7485
0.9303,15.6402,15.4683,16.529,16.6385,-6.5313,-6.0323,1.6559,1.5665,3.2003,3.1883,12.6729,12.7814
0.9403,15.7863,16.0663,16.6862,16.7962,-6.7785,-6.9974,1.5894,1.5013,3.1485,3.2591,12.7046,12.8137
0.9503,15.9457,15.927,16.8449,16.9562,-6.999,-7.2004,1.5204,1.4303,3.1097,3.0192,12.7359,12.8451
0.9603,16.1178,16.2805,17.0053,17.1173,-7.1914,-7.1666,1.4495,1.3584,3.0832,3.3715,12.7669,12.877
0.9703,16.3019,15.7447,17.1674,17.2775,-7.3547,-7.1781,1.3767,1.2867,3.0684,3.3898,12.7977,12.9108
0.9803,16.4973,16.4912,17.3315,17.4387,-7.488,-7.8697,1.3025,1.2114,3.0648,3.246,12.8284,12.944
0.9903,16.7033,17.0898,17.4976,17.6067,-7.5906,-8.1441,1.2271,1.1313,3.0715,2.926,12.859,12.9749
1.0003,16.919,16.9896,17.6657,17.7772,-7.6621,-8.2068,1.1508,1.0495,3.088,2.7986,12.8899,13.0035
1.0103,17.1435,16.9863,17.8361,17.9471,-7.7023,-8.0451,1.0739,0.9682,3.1133,3.1428,12.9209,13.0333
1.0203,17.376,17.8416,18.0087,18.1213,-7.7114,-8.0994,0.9968,0.8875,3.1468,3.3841,12.9522,13.0659
1.0303,17.6156,18.0617,18.1838,18.3009,-7.6896,-7.9296,0.9198,0.8073,3.1875,3.2198,12.9839,13.0989
1.0403,17.8612,17.8716,18.3612,18.4806,-7.6375,-7.8173,0.8431,0.7286,3.2345,2.8547,13.016,13.1293
1.0504,18.1119,18.0394,18.5411,18.6602,-7.5559,-7.5351,0.7671,0.6518,3.2871,3.2561,13.0486,13.1599
1.0604,18.3667,18.9001,18.7236,18.845,-7.4458,-7.5099,0.6921,0.5765,3.3443,3.2291,13.0818,13.1923
1.0704,18.6244,18.6094,18.9086,19.0326,-7.3083,-7.7632,0.6183,0.5001,3.4051,3.8598,13.1155,13.2278
1.0804,18.8841,18.9851,19.0962,19.2206,-7.145,-7.1277,0.546,0.4256,3.4686,4.1146,13.1499,13.2677
1.0904,19.1445,19.8348,19.2864,19.4148,-6.9573,-7.4311,0.4755,0.3528,3.5338,3.4876,13.1849,13.3057
1.1004,19.4046,19.6106,19.4792,19.6121,-6.7473,-6.6007,0.4069,0.2826,3.5998,3.7788,13.2206,13.342
1.1104,19.6632,19.6646,19.6746,19.8085,-6.5167,-6.2111,0.3406,0.2186,3.6655,3.9887,13.257,13.3809
1.1204,19.9192,19.4762,19.8726,20.0043,-6.2676,-5.6329,0.2767,0.1593,3.73,3.136,13.2939,13.4165
1.1304,20.1713,20.332,20.0731,20.2034,-6.0024,-5.8094,0.2153,0.1021,3.7922,4.2299,13.3316,13.4533
1.1404,20.4185,20.5426,20.2761,20.4078,-5.7233,-5.3787,0.1566,0.0461,3.8513,3.8297,13.3698,13.4937
1.1504,20.6596,20.6224,20.4816,20.6137,-5.4328,-5.2694,0.1008,-0.0071,3.9062,4.1104,13.4086,13.5334
1.1604,20.8933,21.321,20.6894,20.8235,-5.1332,-4.9606,0.048,-0.0583,3.9559,3.5119,13.4479,13.5715
1.1704,21.1185,20.8811,20.8996,21.0346,-4.8272,-4.6903,-0.0018,-0.1066,3.9995,3.829,13.4877,13.6082
1.1804,21.334,21.0092,21.1119,21.2441,-4.5173,-4.8269,-0.0486,-0.1542,4.0361,4.1555,13.5279,13.6481
1.1904,21.5387,21.4523,21.3263,21.4565,-4.206,-4.5037,-0.0922,-0.2008,4.0648,4.2563,13.5684,13.6902
1.2004,21.7315,21.8651,21.5428,21.6731,-3.8957,-4.4415,-0.1327,-0.2456,4.0846,3.8776,13.6092,13.7309
1.2104,21.9111,21.6021,21.761,21.8906,-3.589,-3.8782,-0.1702,-0.2872,4.0947,3.929,13.6501,13.7699
1.2204,22.0765,21.8639,21.981,22.108,-3.2883,-3.1957,-0.2045,-0.3226,4.0942,4.1792,13.691,13.8105
1.2304,22.2265,22.1131,22.2026,22.3279,-2.9958,-2.351,-0.236,-0.3503,4.0824,4.2832,13.7319,13.8528
1.2404,22.3602,22.4828,22.4256,22.551,-2.7137,-2.5844,-0.2645,-0.375,4.0585,4.4137,13.7727,13.8963
1.2504,22.4764,22.3954,22.6499,22.7754,-2.4441,-2.385,-0.2903,-0.3998,4.0218,4.0405,13.8131,13.9386
1.2604,22.5742,22.9961,22.8752,23.0025,-2.1889,-2.2316,-0.3135,-0.4229,3.9716,4.1401,13.8531,13.9795
1.2704,22.6526,22.1161,23.1014,23.2281,-1.9499,-1.6595,-0.3342,-0.4424,3.9072,3.8823,13.8925,14.0197
1.2804,22.7105,22.9567,23.3283,23.4535,-1.7285,-1.8282,-0.3526,-0.4598,3.828,3.7096,13.9312,14.0576
1.2904,22.7473,22.6925,23.5557,23.6819,-1.5263,-1.7381,-0.3689,-0.4777,3.7335,3.8393,13.969,14.0954
1.3004,22.7619,23.0238,23.7833,23.9105,-1.3443,-1.5157,-0.3832,-0.494,3.6232,3.0223,14.0058,14.1297
1.3104,22.7535,23.4685,24.011,24.1431,-1.1836,-1.5718,-0.3959,-0.5094,3.4966,3.5869,14.0414,14.1628
1.3204,22.7214,22.8224,24.2384,24.3746,-1.0448,-1.1781,-0.407,-0.5232,3.3534,3.5623,14.0756,14.1985
1.3304,22.6648,22.8458,24.4654,24.603,-0.9285,-0.88,-0.4169,-0.5334,3.1932,3.5341,14.1084,14.234
1.3404,22.5832,22.9557,24.6917,24.8321,-0.835,-0.8185,-0.4257,-0.5419,3.0158,3.1477,14.1394,14.2674
1.3505,22.4757,22.1995,24.9171,25.0579,-0.7642,-0.8212,-0.4337,-0.5501,2.8208,3.2549,14.1686,14.2995
1.3605,22.3419,22.6625,25.1413,25.2823,-0.7161,-0.95,-0.4411,-0.559,2.6082,2.3998,14.1958,14.3277
1.3705,22.1813,22.548,25.364,25.5085,-0.6902,-0.8032,-0.4482,-0.5678,2.3778,2.6735,14.2207,14.3531
1.3805,21.9934,22.0749,25.5849,25.7316,-0.6859,-0.656,-0.455,-0.5751,2.1295,2.5336,14.2433,14.3792
1.3905,21.7778,22.0962,25.8038,25.9526,-0.7022,-0.9341,-0.462,-0.583,1.8635,1.9748,14.2632,14.4017
1.4005,21.5342,21.6952,26.0205,26.1716,-0.7382,-1.1109,-0.4692,-0.5933,1.5798,1.3902,14.2805,14.4185
1.4105,21.2622,21.1558,26.2345,26.3859,-0.7926,-0.8112,-0.4768,-0.6029,1.2785,0.9999,14.2948,14.4305
1.4205,20.9617,20.69,26.4457,26.5952,-0.8639,-0.6432,-0.4851,-0.6101,0.9597,0.5811,14.306,14.4384
1.4305,20.6326,21.0495,26.6538,26.804,-0.9505,-0.9799,-0.4942,-0.6183,0.6239,0.2545,14.3139,14.4426
1.4405,20.2746,20.9315,26.8584,27.014,-1.0505,-0.75,-0.5042,-0.6269,0.2712,0.7812,14.3184,14.4478
1.4505,19.8879,19.7749,27.0592,27.2176,-1.1622,-1.2844,-0.5153,-0.6371,-0.0978,0.0914,14.3192,14.4521
1.4605,19.4724,19.7059,27.2561,27.415,-1.2833,-1.0459,-0.5275,-0.6487,-0.4829,-0.3009,14.3163,14.4511
1.4705,19.0283,18.7874,27.4487,27.6076,-1.4118,-0.9909,-0.541,-0.6589,-0.8835,-1.1363,14.3095,14.4439
1.4805,18.5557,18.538,27.6367,27.7943,-1.5454,-1.7485,-0.5558,-0.6726,-1.2991,-1.1377,14.2986,14.4325
1.4905,18.0549,18.0299,27.8198,27.9772,-1.6818,-1.9008,-0.5719,-0.6909,-1.729,-1.4719,14.2834,14.4195
1.5005,17.5261,17.3082,27.9977,28.1539,-1.8186,-1.8684,-0.5894,-0.7097,-2.1727,-2.4767,14.2639,14.3997
1.5105,16.9698,17.0715,28.1703,28.3259,-1.9535,-2.4942,-0.6083,-0.7316,-2.6293,-2.3081,14.2399,14.3758
1.5205,16.3863,16.8082,28.3371,28.4953,-2.0842,-2.658,-0.6285,-0.7573,-3.0982,-2.5558,14.2112,14.3515
1.5305,15.7762,16.0689,28.498,28.6598,-2.2083,-1.9657,-0.65,-0.7804,-3.5785,-3.7016,14.1778,14.3202
1.5405,15.14,15.1098,28.6526,28.8157,-2.3235,-2.4325,-0.6726,-0.8024,-4.0695,-3.9126,14.1396,14.2821
1.5505,14.4783,15.0302,28.8008,28.9665,-2.4275,-2.1467,-0.6964,-0.8254,-4.5701,-4.4676,14.0964,14.2402
1.5605,13.7918,13.983,28.9422,29.1116,-2.5183,-2.9105,-0.7211,-0.8506,-5.0796,-4.8801,14.0481,14.1934
1.5705,13.0813,13.7477,29.0766,29.2503,-2.5938,-3.134,-0.7467,-0.8809,-5.5968,-5.5593,13.9947,14.1412
1.5805,12.3474,12.0818,29.2037,29.3795,-2.6522,-2.4735,-0.7729,-0.9089,-6.121,-5.7683,13.9361,14.0845
1.5905,11.5912,12.623,29.3235,29.503,-2.6916,-2.5349,-0.7997,-0.934,-6.6509,-6.5958,13.8722,14.0227
1.6005,10.8133,10.8873,29.4355,29.6206,-2.7106,-3.1022,-0.8267,-0.9622,-7.1856,-7.0215,13.803,13.9546
1.6105,10.015,9.7873,29.5397,29.724,-2.7076,-2.6648,-0.8538,-0.991,-7.7239,-7.8295,13.7284,13.8803
1.6205,9.197,9.0043,29.6358,29.818,-2.6815,-2.5222,-0.8807,-1.017,-8.2648,-8.4202,13.6485,13.799
1.6305,8.3605,8.7678,29.7236,29.9069,-2.6313,-2.501,-0.9073,-1.0421,-8.8072,-8.8097,13.5631,13.7128
1.6405,7.5066,7.9057,29.803,29.9903,-2.5561,-2.6813,-0.9333,-1.068,-9.35,-9.5643,13.4723,13.6209
1.6506,6.6363,7.0078,29.8737,30.0649,-2.4555,-2.6241,-0.9583,-1.0945,-9.8919,-9.8043,13.376,13.5241
1.6606,5.7509,6.0615,29.9357,30.1303,-2.329,-2.7789,-0.9823,-1.1216,-10.4318,-10.8024,13.2744,13.421
1.6706,4.8517,4.6415,29.9887,30.1838,-2.1766,-2.1333,-1.0048,-1.1461,-10.9687,-10.3437,13.1673,13.3152
1.6806,3.9397,4.0248,30.0327,30.2271,-1.9984,-1.9537,-1.0257,-1.1666,-11.5012,-11.0741,13.055,13.2081
1.6906,3.0164,2.451,30.0675,30.2595,-1.7947,-2.1267,-1.0446,-1.187,-12.0283,-11.6758,12.9373,13.0943
1.7006,2.083,1.9493,30.093,30.2815,-1.5661,-1.5726,-1.0615,-1.2055,-12.5489,-12.6455,12.8143,12.9727
1.7106,1.1409,1.4709,30.1091,30.2986,-1.3136,-1.6658,-1.0759,-1.2217,-13.0617,-13.6425,12.6862,12.8412
1.7206,0.1914,-0.2428,30.1158,30.3048,-1.038,-1.2491,-1.0876,-1.2363,-13.5657,-13.8521,12.5531,12.7037
1.7306,-0.7641,0.0784,30.1129,30.304,-0.7407,-0.3165,-1.0965,-1.2441,-14.0598,-14.1494,12.4149,12.5636
1.7406,-1.7242,-1.2137,30.1005,30.2983,-0.4232,-0.7432,-1.1023,-1.2494,-14.5428,-15.0715,12.2718,12.4175
1.7506,-2.6874,-2.9002,30.0784,30.2777,-0.0871,-0.2471,-1.1049,-1.2543,-15.0138,-15.1576,12.124,12.2663
1.7606,-3.6525,-3.3036,30.0467,30.2467,0.2657,0.3089,-1.104,-1.254,-15.4716,-15.4413,11.9715,12.1132
1.7706,-4.6178,-4.3192,30.0053,30.2086,0.6333,0.2966,-1.0995,-1.251,-15.9152,-15.8189,11.8145,11.9569
1.7806,-5.5821,-5.4915,29.9543,30.1595,1.0135,1.1603,-1.0913,-1.2437,-16.3438,-16.163,11.6532,11.7969
1.7906,-6.5438,-6.2344,29.8937,30.1008,1.4039,0.8593,-1.0792,-1.2336,-16.7562,-16.8073,11.4876,11.632
1.8006,-7.5016,-7.4488,29.8234,30.0324,1.8023,1.5932,-1.0631,-1.2214,-17.1518,-17.0109,11.318,11.4629
1.8106,-8.4539,-8.3265,29.7436,29.9535,2.206,2.3046,-1.0431,-1.2019,-17.5295,-17.3686,11.1446,11.2909
1.8206,-9.3995,-9.1009,29.6543,29.8663,2.6126,2.8685,-1.019,-1.176,-17.8885,-17.2612,10.9674,11.1177
1.8306,-10.3368,-10.0579,29.5556,29.7705,3.0195,3.3732,-0.9908,-1.1448,-18.2282,-18.328,10.7868,10.9397
1.8406,-11.2645,-11.027,29.4475,29.665,3.424,3.455,-0.9586,-1.1106,-18.5477,-18.3576,10.6028,10.7562
1.8506,-12.1812,-11.9374,29.3303,29.5502,3.8235,3.8405,-0.9223,-1.0741,-18.8465,-18.4257,10.4158,10.5722
1.8606,-13.0856,-12.6542,29.2039,29.4272,4.2153,4.4809,-0.8821,-1.0325,-19.1238,-19.2538,10.2259,10.3838
1.8706,-13.9763,-13.5973,29.0685,29.2959,4.597,4.6261,-0.8381,-0.987,-19.3791,-19.4159,10.0333,10.1903
1.8806,-14.852,-15.0639,28.9244,29.1525,4.966,5.3173,-0.7902,-0.9372,-19.612,-18.7376,9.8383,9.9995
1.8906,-15.7116,-15.7938,28.7715,28.9982,5.3199,5.0558,-0.7388,-0.8853,-19.8219,-19.7985,9.641,9.8068
1.9006,-16.5536,-15.9692,28.6101,28.8393,5.6563,5.2298,-0.6839,-0.8339,-20.0085,-20.0113,9.4418,9.6077
1.9106,-17.377,-16.7617,28.4404,28.6756,5.9732,5.7111,-0.6257,-0.7792,-20.1715,-20.5477,9.2409,9.4048
1.9206,-18.1806,-17.8663,28.2626,28.5024,6.2683,6.3959,-0.5645,-0.7186,-20.3105,-19.8733,9.0384,9.2026
1.9306,-18.9632,-18.8979,28.0768,28.3185,6.5399,6.1633,-0.5004,-0.6558,-20.4254,-20.7237,8.8346,8.9996
1.9406,-19.7239,-19.3293,27.8833,28.1273,6.7863,6.6101,-0.4338,-0.5919,-20.516,-20.6732,8.6299,8.7925
1.9507,-20.4614,-20.1082,27.6823,27.9301,7.0058,6.9492,-0.3648,-0.5241,-20.5823,-20.6091,8.4243,8.586
1.9607,-21.175,-21.49,27.474,27.722,7.1973,6.8599,-0.2937,-0.455,-20.6242,-20.5054,8.2182,8.3804
1.9707,-21.8636,-21.6938,27.2588,27.506,7.3596,6.8736,-0.2209,-0.3863,-20.6418,-20.8668,8.0118,8.1735
1.9807,-22.5264,-22.7969,27.0367,27.2835,7.4919,6.9945,-0.1467,-0.317,-20.6351,-20.6512,7.8054,7.9658
1.9907,-23.1625,-23.1507,26.8082,27.0537,7.5934,7.5412,-0.0712,-0.2443,-20.6045,-20.8303,7.5991,7.7583
2.0007,-23.7713,-23.6118,26.5735,26.8198,7.6639,7.3848,0.0051,-0.1696,-20.55,-20.3848,7.3932,7.5522
2.0107,-24.3519,-23.6858,26.3328,26.5832,7.7031,7.6402,0.082,-0.0945,-20.472,-20.7729,7.1881,7.3463
2.0207,-24.9038,-25.3887,26.0864,26.3378,7.7112,7.4322,0.1591,-0.0191,-20.3708,-20.2306,6.9838,7.1412
2.0307,-25.4263,-25.3832,25.8347,26.0838,7.6884,7.6572,0.2361,0.0564,-20.247,-19.9481,6.7806,6.9403
2.0407,-25.9189,-25.5642,25.5779,25.829,7.6353,7.5097,0.3127,0.1323,-20.1008,-20.537,6.5788,6.7378
