time_s,true_distance_mm,echo_time_us,measured_mm,noisy_mm
1.2004,56.375,323.742,56.375,56.375
1.2104,55.941,321.252,55.941,55.941
1.2204,55.477,318.589,55.477,55.477
1.2304,54.99,315.794,54.99,54.99
1.2404,54.488,312.911,54.488,-38.386
1.2504,53.979,309.984,53.979,53.979
1.2604,53.469,307.059,53.469,53.469
1.2704,52.968,304.181,52.968,52.968
1.2804,52.483,301.396,52.483,52.483
1.2904,52.022,298.745,52.022,52.022
1.3004,51.591,296.271,51.591,51.591
1.3104,51.197,294.012,51.197,51.197
1.3204,50.848,292.002,50.848,50.848
1.3304,50.546,290.273,50.546,50.546
1.3404,50.299,288.851,50.299,50.299
1.3505,50.108,287.758,50.108,128.415
1.3605,49.978,287.01,49.978,49.978
1.3705,49.91,286.619,49.91,49.91
1.3805,49.905,286.59,49.905,49.905
1.3905,49.963,286.922,49.963,49.963
1.4005,50.083,287.61,50.083,50.083
1.4105,50.262,288.642,50.262,50.262
1.4205,50.499,290.002,50.499,50.499
1.4305,50.789,291.666,50.789,50.789
1.4405,51.127,293.608,51.127,51.127
1.4505,51.508,295.796,51.508,51.508
1.4605,51.926,298.196,51.926,51.926
1.4705,52.374,300.769,52.374,52.374
1.4805,52.845,303.473,52.845,52.845
1.4905,53.331,306.264,53.331,-41.531
1.5005,53.825,309.1,53.825,53.825
1.5105,54.318,311.932,54.318,54.318
1.5205,54.803,314.717,54.803,54.803
1.5305,55.272,317.41,55.272,55.272
1.5405,55.717,319.967,55.717,55.717
1.5505,56.132,322.348,56.132,56.132
1.5605,56.509,324.513,56.509,56.509
1.5705,56.842,326.429,56.842,56.842
1.5805,57.127,328.063,57.127,57.127
1.5905,57.358,329.391,57.358,57.358
1.6005,57.532,330.389,57.532,57.532
1.6105,57.646,331.042,57.646,57.646
1.6205,57.697,331.338,57.697,57.697
1.6305,57.686,331.273,57.686,122.163
1.6405,57.611,330.846,57.611,57.611
1.6506,57.475,330.063,57.475,57.475
1.6606,57.279,328.936,57.279,57.279
1.6706,57.026,327.482,57.026,57.026
1.6806,56.72,325.724,56.72,56.72
1.6906,56.365,323.688,56.365,56.365
1.7006,55.968,321.405,55.968,55.968
1.7106,55.533,318.912,55.533,55.533
1.7206,55.069,316.246,55.069,55.069
1.7306,54.582,313.449,54.582,54.582
1.7406,54.08,310.565,54.08,54.08
1.7506,53.57,307.638,53.57,-84.375
1.7606,53.061,304.713,53.061,53.061
1.7706,52.56,301.837,52.56,52.56
1.7806,52.075,299.053,52.075,52.075
1.7906,51.614,296.405,51.614,51.614
1.8006,51.184,293.935,51.184,51.184
1.8106,50.791,291.679,50.791,50.791
1.8206,50.442,289.674,50.442,50.442
1.8306,50.142,287.95,50.142,50.142
1.8406,49.895,286.533,49.895,49.895
1.8506,49.706,285.446,49.706,49.706
1.8606,49.577,284.704,49.577,49.577
1.8706,49.51,284.319,49.51,49.51
1.8806,49.505,284.295,49.505,49.505
1.8906,49.564,284.634,49.564,49.564
1.9006,49.685,285.328,49.685,49.685
1.9106,49.866,286.365,49.866,49.866
1.9206,50.104,287.73,50.104,50.104
1.9306,50.394,289.399,50.394,50.394
1.9406,50.733,291.345,50.733,50.733
1.9507,51.115,293.537,51.115,51.115
1.9607,51.533,295.941,51.533,51.533
1.9707,51.982,298.516,51.982,51.982
1.9807,52.453,301.221,52.453,52.453
1.9907,52.939,304.014,52.939,52.939
2.0007,53.433,306.85,53.433,53.433
2.0107,53.926,309.682,53.926,53.926
2.0207,54.411,312.466,54.411,54.411
2.0307,54.88,315.157,54.88,54.88
2.0407,55.324,317.711,55.324,183.796
2.0507,55.738,320.089,55.738,55.738
2.0607,56.115,322.25,56.115,56.115
2.0707,56.447,324.161,56.447,56.447
2.0807,56.731,325.791,56.731,56.731
2.0907,56.962,327.113,56.962,56.962
2.1007,57.134,328.106,57.134,57.134
2.1107,57.247,328.753,57.247,57.247
2.1207,57.298,329.043,57.298,57.298
2.1307,57.285,328.972,57.285,57.285
2.1407,57.21,328.538,57.21,57.21
2.1507,57.072,327.75,57.072,57.072
2.1607,56.875,326.617,56.875,56.875
2.1707,56.621,325.158,56.621,56.621
2.1807,56.314,323.395,56.314,56.314
2.1907,55.959,321.354,55.959,55.959
2.2007,55.561,319.068,55.561,55.561
2.2107,55.126,316.572,55.126,55.126
2.2207,54.661,313.903,54.661,54.661
2.2307,54.174,311.105,54.174,54.174
2.2407,53.671,308.219,53.671,53.671
2.2508,53.162,305.292,53.162,53.162
2.2608,52.653,302.368,52.653,105.805
2.2708,52.152,299.493,52.152,52.152
2.2808,51.667,296.711,51.667,51.667
2.2908,51.207,294.066,51.207,51.207
2.3008,50.777,291.598,50.777,50.777
2.3108,50.385,289.347,50.385,50.385
2.3208,50.037,287.346,50.037,50.037
2.3308,49.737,285.627,49.737,49.737
2.3408,49.492,284.215,49.492,49.492
2.3508,49.303,283.133,49.303,49.303
2.3608,49.175,282.397,49.175,49.175
2.3708,49.109,282.018,49.109,49.109
2.3808,49.106,282.001,49.106,5.667
2.3908,49.166,282.345,49.166,49.166
2.4008,49.288,283.045,49.288,49.288
2.4108,49.469,284.088,49.469,49.469
2.4208,49.708,285.458,49.708,49.708
2.4308,49.999,287.132,49.999,49.999
2.4408,50.339,289.083,50.339,50.339
2.4508,50.722,291.279,50.722,50.722
2.4608,51.141,293.685,51.141,51.141
2.4708,51.589,296.263,51.589,51.589
2.4808,52.061,298.97,52.061,52.061
2.4908,52.547,301.764,52.547,52.547
2.5008,53.041,304.6,53.041,53.041
2.5108,53.534,307.432,53.534,53.534
2.5208,54.019,310.215,54.019,54.019
2.5308,54.487,312.904,54.487,54.487
2.5408,54.932,315.456,54.932,54.932
2.5509,55.345,317.829,55.345,55.345
2.5609,55.721,319.987,55.721,55.721
2.5709,56.053,321.894,56.053,56.053
2.5809,56.336,323.519,56.336,56.336
2.5909,56.565,324.835,56.565,56.565
2.6009,56.737,325.822,56.737,56.737
2.6109,56.848,326.464,56.848,56.848
2.6209,56.898,326.748,56.898,56.898
2.6309,56.884,326.67,56.884,56.884
2.6409,56.808,326.231,56.808,56.808
2.6509,56.67,325.437,56.67,56.67
2.6609,56.471,324.298,56.471,56.471
2.6709,56.216,322.834,56.216,56.216
2.6809,55.909,321.066,55.909,55.909
2.6909,55.552,319.021,55.552,-52.394
2.7009,55.154,316.731,55.154,55.154
2.7109,54.718,314.231,54.718,54.718
2.7209,54.253,311.561,54.253,54.253
2.7309,53.766,308.76,53.766,53.766
2.7409,53.263,305.874,53.263,53.263
2.7509,52.753,302.946,52.753,52.753
2.7609,52.244,300.022,52.244,52.244
2.7709,51.744,297.148,51.744,51.744
2.7809,51.26,294.368,51.26,51.26
2.7909,50.799,291.726,50.799,50.799
2.8009,50.37,289.262,50.37,99.762
2.8109,49.979,287.014,49.979,49.979
2.8209,49.631,285.018,49.631,49.631
2.8309,49.333,283.303,49.333,49.333
2.8409,49.088,281.897,49.088,49.088
2.851,48.901,280.821,48.901,48.901
2.861,48.773,280.091,48.773,87.316
2.871,48.708,279.718,48.708,48.708
2.881,48.706,279.707,48.706,48.706
2.891,48.767,280.057,48.767,48.767
2.901,48.89,280.763,48.89,48.89
2.911,49.073,281.811,49.073,49.073
2.921,49.312,283.186,49.312,49.312
2.931,49.605,284.865,49.605,49.605
2.941,49.945,286.82,49.945,49.945
2.951,50.328,289.02,50.328,50.328
2.961,50.748,291.43,50.748,50.748
2.971,51.197,294.01,51.197,51.197
2.981,51.669,296.719,51.669,51.669
2.991,52.156,299.514,52.156,52.156
3.001,52.649,302.35,52.649,52.649
3.011,53.143,305.182,53.143,53.143
3.021,53.627,307.963,53.627,53.627
3.031,54.095,310.65,54.095,54.095
3.041,54.539,313.2,54.539,54.539
3.051,54.951,315.57,54.951,54.951
3.061,55.327,317.724,55.327,55.327
3.071,55.658,319.626,55.658,55.658
3.081,55.94,321.246,55.94,55.94
3.091,56.168,322.558,56.168,56.168
3.101,56.339,323.539,56.339,56.339
3.111,56.45,324.174,56.45,56.45
3.121,56.498,324.453,56.498,56.498
3.131,56.484,324.369,56.484,56.484
3.141,56.406,323.924,56.406,56.406
3.1511,56.267,323.123,56.267,56.267
3.1611,56.068,321.98,56.068,56.068
3.1711,55.812,320.51,55.812,55.812
3.1811,55.503,318.737,55.503,55.503
3.1911,55.146,316.688,55.146,55.146
3.2011,54.747,314.394,54.747,54.747
3.2111,54.311,311.891,54.311,54.311
3.2211,53.845,309.218,53.845,53.845
3.2311,53.357,306.416,53.357,53.357
3.2411,52.855,303.528,52.855,52.855
3.2511,52.345,300.6,52.345,52.345
3.2611,51.836,297.677,51.836,51.836
3.2711,51.335,294.804,51.335,51.335
3.2811,50.852,292.026,50.852,50.852
3.2911,50.392,289.386,50.392,50.392
3.3011,49.963,286.925,49.963,49.963
3.3111,49.573,284.682,49.573,49.573
3.3211,49.226,282.69,49.226,49.226
3.3311,48.928,280.98,48.928,48.928
3.3411,48.684,279.58,48.684,48.684
3.3511,48.498,278.509,48.498,48.498
3.3611,48.372,277.785,48.372,48.372
3.3711,48.308,277.418,48.308,48.308
3.3811,48.307,277.413,48.307,48.307
3.3911,48.369,277.769,48.369,48.369
3.4011,48.493,278.48,48.493,48.493
3.4111,48.676,279.535,48.676,48.676
3.4211,48.917,280.915,48.917,48.917
3.4311,49.21,282.598,49.21,49.21
3.4411,49.551,284.558,49.551,49.551
3.4512,49.935,286.762,49.935,49.935
3.4612,50.355,289.174,50.355,50.355
3.4712,50.805,291.757,50.805,50.805
3.4812,51.277,294.468,51.277,51.277
3.4912,51.764,297.264,51.764,51.764
3.5012,52.258,300.101,52.258,52.258
3.5112,52.751,302.932,52.751,52.751
3.5212,53.235,305.712,53.235,53.235
3.5312,53.702,308.397,53.702,53.702
3.5412,54.146,310.944,54.146,54.146
3.5512,54.558,313.311,54.558,54.558
3.5612,54.932,315.461,54.932,54.932
3.5712,55.263,317.358,55.263,55.263
3.5812,55.544,318.973,55.544,55.544
3.5912,55.772,320.28,55.772,55.772
3.6012,55.941,321.255,55.941,55.941
3.6112,56.051,321.885,56.051,56.051
3.6212,56.098,322.157,56.098,56.098
3.6312,56.083,322.067,56.083,56.083
3.6412,56.004,321.616,56.004,56.004
3.6512,55.864,320.81,55.864,55.864
3.6612,55.664,319.661,55.664,55.664
3.6712,55.407,318.186,55.407,55.407
3.6812,55.097,316.408,55.097,55.097
3.6912,54.74,314.354,54.74,54.74
3.7012,54.34,312.057,54.34,54.34
3.7112,53.903,309.551,53.903,53.903
3.7212,53.437,306.875,53.437,53.437
3.7312,52.949,304.071,52.949,52.949
3.7412,52.446,301.182,52.446,52.446
3.7513,51.936,298.254,51.936,51.936
3.7613,51.427,295.331,51.427,51.427
3.7713,50.927,292.46,50.927,50.927
3.7813,50.444,289.684,50.444,50.444
3.7913,49.985,287.046,49.985,49.985
3.8013,49.557,284.589,49.557,49.557
3.8113,49.167,282.349,49.167,49.167
3.8213,48.821,280.362,48.821,48.821
3.8313,48.524,278.657,48.524,48.524
3.8413,48.281,277.262,48.281,48.281
3.8513,48.095,276.197,48.095,48.095
3.8613,47.97,275.479,47.97,47.97
3.8713,47.907,275.118,47.907,47.907
3.8813,47.907,275.118,47.907,47.907
3.8913,47.971,275.481,47.971,47.971
3.9013,48.095,276.198,48.095,48.095
3.9113,48.28,277.258,48.28,48.28
3.9213,48.521,278.643,48.521,48.521
3.9313,48.815,280.332,48.815,48.815
3.9413,49.157,282.296,49.157,121.291
3.9513,49.542,284.503,49.542,49.542
3.9613,49.962,286.919,49.962,49.962
3.9713,50.413,289.504,50.413,50.413
3.9813,50.885,292.217,50.885,50.885
3.9913,51.372,295.014,51.372,51.372
4.0013,51.866,297.851,51.866,51.866
4.0113,52.359,300.681,52.359,52.359
4.0213,52.843,303.461,52.843,52.843
4.0313,53.31,306.144,53.31,53.31
4.0413,53.753,308.688,53.753,53.753
4.0514,54.165,311.051,54.165,54.165
4.0614,54.538,313.197,54.538,54.538
4.0714,54.868,315.091,54.868,54.868
4.0814,55.148,316.701,55.148,55.148
4.0914,55.375,318.001,55.375,55.375
4.1014,55.544,318.972,55.544,55.544
4.1114,55.652,319.595,55.652,55.652
4.1214,55.699,319.861,55.699,55.699
4.1314,55.682,319.766,55.682,55.682
4.1414,55.602,319.308,55.602,-4.544
4.1514,55.461,318.496,55.461,55.461
4.1614,55.26,317.342,55.26,55.26
4.1714,55.002,315.862,55.002,55.002
4.1814,54.692,314.079,54.692,54.692
4.1914,54.333,312.021,54.333,54.333
4.2014,53.933,309.72,53.933,53.933
4.2114,53.496,307.21,53.496,6.176
4.2214,53.029,304.532,53.029,100.731
4.2314,52.541,301.726,52.541,52.541
4.2414,52.038,298.837,52.038,52.038
4.2514,51.528,295.908,51.528,51.528
4.2614,51.019,292.986,51.019,51.019
4.2714,50.519,290.115,50.519,50.519
4.2814,50.036,287.341,50.036,50.036
4.2914,49.577,284.707,49.577,49.577
4.3014,49.15,282.253,49.15,49.15
4.3114,48.76,280.017,48.76,48.76
4.3214,48.415,278.034,48.415,48.415
4.3314,48.119,276.334,48.119,48.119
4.3414,47.877,274.944,47.877,-79.338
4.3515,47.693,273.885,47.693,47.693
4.3615,47.569,273.173,47.569,47.569
4.3715,47.507,272.817,47.507,47.507
4.3815,47.508,272.824,47.508,47.508
4.3915,47.572,273.193,47.572,47.572
4.4015,47.698,273.916,47.698,47.698
4.4115,47.884,274.981,47.884,47.884
4.4215,48.126,276.372,48.126,48.126
4.4315,48.421,278.065,48.421,48.421
4.4415,48.763,280.033,48.763,48.763
4.4515,49.148,282.245,49.148,49.148
4.4615,49.57,284.664,49.57,49.57
4.4715,50.02,287.251,50.02,50.02
4.4815,50.493,289.966,50.493,50.493
4.4915,50.98,292.764,50.98,50.98
4.5015,51.474,295.601,51.474,109.038
4.5115,51.967,298.431,51.967,51.967
4.5215,52.451,301.209,52.451,52.451
4.5315,52.918,303.89,52.918,52.918
4.5415,53.36,306.431,53.36,53.36
4.5515,53.771,308.792,53.771,53.771
4.5615,54.144,310.934,54.144,54.144
4.5715,54.473,312.823,54.473,54.473
4.5815,54.753,314.428,54.753,54.753
4.5915,54.978,315.723,54.978,54.978
4.6015,55.146,316.688,55.146,55.146
4.6115,55.254,317.305,55.254,55.254
4.6215,55.299,317.566,55.299,55.299
4.6315,55.281,317.464,55.281,55.281
4.6415,55.201,317.001,55.201,55.201
4.6516,55.058,316.183,55.058,55.058
4.6616,54.856,315.022,54.856,54.856
4.6716,54.597,313.537,54.597,54.597
4.6816,54.286,311.75,54.286,54.286
4.6916,53.927,309.687,53.927,53.927
4.7016,53.526,307.382,53.526,53.526
4.7116,53.088,304.87,53.088,53.088
4.7216,52.621,302.189,52.621,52.621
4.7316,52.133,299.382,52.133,52.133
4.7416,51.629,296.491,51.629,51.629
4.7516,51.119,293.562,51.119,51.119
4.7616,50.61,290.64,50.61,50.61
4.7716,50.111,287.771,50.111,50.111
4.7816,49.628,284.999,49.628,49.628
4.7916,49.17,282.367,49.17,49.17
4.8016,48.743,279.916,48.743,48.743
4.8116,48.354,277.685,48.354,48.354
4.8216,48.01,275.706,48.01,48.01
4.8316,47.715,274.011,47.715,47.715
4.8416,47.474,272.627,47.474,107.468
4.8516,47.29,271.573,47.29,47.29
4.8616,47.167,270.867,47.167,47.167
4.8716,47.106,270.518,47.106,47.106
4.8816,47.109,270.531,47.109,47.109
4.8916,47.174,270.905,47.174,47.174
4.9016,47.301,271.634,47.301,47.301
4.9116,47.487,272.705,47.487,47.487
4.9216,47.73,274.101,47.73,47.73
4.9316,48.026,275.799,48.026,48.026
4.9416,48.369,277.771,48.369,48.369
4.9517,48.755,279.986,48.755,48.755
4.9617,49.177,282.409,49.177,49.177
4.9717,49.628,284.999,49.628,49.628
4.9817,50.101,287.715,50.101,50.101
4.9917,50.588,290.514,50.588,50.588
5.0017,51.082,293.351,51.082,51.082
5.0117,51.575,296.181,51.575,51.575
5.0217,52.059,298.958,52.059,52.059
5.0317,52.525,301.637,52.525,52.525
5.0417,52.967,304.175,52.967,52.967
5.0517,53.378,306.533,53.378,53.378
5.0617,53.75,308.671,53.75,53.75
5.0717,54.078,310.555,54.078,54.078
5.0817,54.357,312.155,54.357,54.357
5.0917,54.581,313.445,54.581,54.581
5.1017,54.748,314.404,54.748,54.748
5.1117,54.855,315.016,54.855,54.855
5.1217,54.899,315.27,54.899,54.899
5.1317,54.88,315.162,54.88,54.88
5.1417,54.799,314.693,54.799,54.799
5.1517,54.655,313.869,54.655,54.655
5.1617,54.452,312.703,54.452,54.452
5.1717,54.193,311.213,54.193,54.193
5.1817,53.881,309.42,53.881,66.886
5.1917,53.521,307.354,53.521,53.521
5.2017,53.119,305.045,53.119,53.119
5.2117,52.681,302.529,52.681,52.681
5.2217,52.213,299.846,52.213,52.213
5.2317,51.724,297.037,51.724,51.724
5.2417,51.221,294.145,51.221,51.221
5.2518,50.711,291.216,50.711,50.711
5.2618,50.202,288.295,50.202,50.202
5.2718,49.703,285.427,49.703,49.703
5.2818,49.22,282.657,49.22,49.22
5.2918,48.762,280.028,48.762,48.762
5.3018,48.336,277.58,48.336,48.336
5.3118,47.948,275.352,47.948,47.948
5.3218,47.604,273.378,47.604,47.604
5.3318,47.31,271.689,47.31,47.31
5.3418,47.07,270.309,47.07,108.608
5.3518,46.888,269.262,46.888,46.888
5.3618,46.766,268.561,46.766,46.766
5.3718,46.706,268.218,46.706,46.706
5.3818,46.709,268.237,46.709,46.709
5.3918,46.775,268.617,46.775,46.775
5.4018,46.903,269.352,46.903,46.903
5.4118,47.091,270.428,47.091,47.091
5.4218,47.335,271.83,47.335,47.335
5.4318,47.631,273.532,47.631,47.631
5.4418,47.976,275.509,47.976,47.976
5.4518,48.362,277.728,48.362,48.362
5.4618,48.784,280.153,48.784,48.784
5.4718,49.236,282.746,49.236,49.236
5.4818,49.709,285.464,49.709,49.709
5.4918,50.197,288.264,50.197,50.197
5.5018,50.691,291.102,50.691,50.691
5.5118,51.183,293.931,51.183,51.183
5.5218,51.667,296.706,51.667,51.667
5.5318,52.133,299.383,52.133,52.133
5.5418,52.574,301.919,52.574,-9.685
5.5519,52.984,304.273,52.984,52.984
5.5619,53.356,306.407,53.356,53.356
5.5719,53.683,308.287,53.683,53.683
5.5819,53.961,309.882,53.961,53.961
5.5919,54.185,311.167,54.185,54.185
5.6019,54.351,312.12,54.351,54.351
5.6119,54.456,312.726,54.456,54.456
5.6219,54.499,312.974,54.499,54.499
5.6319,54.48,312.86,54.48,54.48
5.6419,54.397,312.385,54.397,54.397
5.6519,54.252,311.555,54.252,54.252
5.6619,54.048,310.384,54.048,54.048
5.6719,53.788,308.888,53.788,53.788
5.6819,53.475,307.091,53.475,53.475
5.6919,53.114,305.02,53.114,53.114
5.7019,52.712,302.707,52.712,52.712
5.7119,52.273,300.189,52.273,52.273
5.7219,51.805,297.503,51.805,51.805
5.7319,51.316,294.692,51.316,51.316
5.7419,50.812,291.8,50.812,50.812
5.7519,50.302,288.87,50.302,50.302
5.7619,49.794,285.949,49.794,49.794
5.7719,49.294,283.083,49.294,49.294
5.7819,48.812,280.315,48.812,48.812
5.7919,48.355,277.688,48.355,48.355
5.8019,47.929,275.244,47.929,47.929
5.8119,47.542,273.02,47.542,47.542
5.8219,47.199,271.051,47.199,47.199
5.8319,46.906,269.366,46.906,46.906
5.8419,46.667,267.992,46.667,46.667
5.852,46.485,266.95,46.485,46.485
5.862,46.364,266.255,46.364,46.364
5.872,46.305,265.918,46.305,46.305
5.882,46.31,265.943,46.31,46.31
5.892,46.377,266.329,46.377,-15.845
5.902,46.506,267.07,46.506,46.506
5.912,46.694,268.152,46.694,46.694
5.922,46.939,269.559,46.939,46.939
5.932,47.237,271.266,47.237,47.237
5.942,47.582,273.247,47.582,-89.099
5.952,47.969,275.47,47.969,47.969
5.962,48.392,277.898,48.392,48.392
5.972,48.843,280.493,48.843,48.843
5.982,49.317,283.213,49.317,49.317
5.992,49.805,286.014,49.805,49.805
6.002,50.299,288.852,50.299,50.299
6.012,50.791,291.681,50.791,50.791
6.022,51.275,294.455,51.275,51.275
6.032,51.74,297.13,51.74,51.74
6.042,52.181,299.663,52.181,52.181
6.052,52.591,302.013,52.591,52.591
6.062,52.962,304.143,52.962,52.962
6.072,53.288,306.019,53.288,53.288
6.082,53.565,307.609,53.565,53.565
6.092,53.788,308.888,53.788,53.788
6.102,53.953,309.836,53.953,53.953
6.112,54.057,310.436,54.057,54.057
6.122,54.1,310.678,54.1,54.1
6.132,54.079,310.558,54.079,54.079
6.142,53.995,310.077,53.995,53.995
6.1521,53.849,309.242,53.849,53.849
6.1621,53.645,308.065,53.645,53.645
6.1721,53.383,306.564,53.383,53.383
6.1821,53.069,304.762,53.069,53.069
6.1921,52.708,302.686,52.708,191.993
6.2021,52.305,300.37,52.305,52.305
6.2121,51.866,297.848,51.866,51.866
6.2221,51.397,295.16,51.397,51.397
6.2321,50.908,292.347,50.908,50.908
6.2421,50.404,289.454,50.404,50.404
6.2521,49.894,286.524,49.894,49.894
6.2621,49.385,283.604,49.385,49.385
6.2721,48.886,280.739,48.886,48.886
6.2821,48.404,277.973,48.404,48.404
6.2921,47.948,275.349,47.948,47.948
6.3021,47.523,272.908,47.523,47.523
6.3121,47.136,270.688,47.136,47.136
6.3221,46.794,268.723,46.794,76.451
6.3321,46.501,267.043,46.501,46.501
6.3421,46.263,265.675,46.263,72.969
6.3521,46.083,264.638,46.083,46.083
6.3621,45.963,263.949,45.963,45.963
6.3721,45.905,263.618,45.905,45.905
6.3821,45.91,263.649,45.91,45.91
6.3921,45.979,264.042,45.979,45.979
6.4021,46.109,264.788,46.109,46.109
6.4121,46.298,265.876,46.298,46.298
6.4221,46.544,267.288,46.544,141.294
6.4321,46.842,269.0,46.842,46.842
6.4421,47.188,270.985,47.188,47.188
6.4522,47.575,273.212,47.575,47.575
6.4622,47.999,275.643,47.999,3.012
6.4722,48.451,278.241,48.451,48.451
6.4822,48.925,280.962,48.925,48.925
6.4922,49.413,283.764,49.413,157.167
6.5022,49.907,286.602,49.907,49.907
6.5122,50.4,289.43,50.4,50.4
6.5222,50.882,292.203,50.882,50.882
6.5322,51.348,294.876,51.348,51.348
6.5422,51.789,297.407,51.789,51.789
6.5522,52.197,299.754,52.197,52.197
6.5622,52.568,301.88,52.568,52.568
6.5722,52.893,303.751,52.893,52.893
6.5822,53.169,305.336,53.169,53.169
6.5922,53.391,306.61,53.391,53.391
6.6022,53.555,307.552,53.555,53.555
6.6122,53.659,308.146,53.659,53.659
6.6222,53.7,308.382,53.7,53.7
6.6322,53.678,308.256,53.678,53.678
6.6422,53.593,307.769,53.593,53.593
6.6522,53.447,306.928,53.447,53.447
